link,title
https://www.flipkart.com/tqh-solid-men-round-neck-green-black-navy-blue-t-shirt/p/itm3113bba006975?pid=TSHGGJMHH4UDUHDG&lid=LSTTSHGGJMHH4UDUHDG9MAXN6&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_11&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxgGP6l3v%2F6yVOOkS7WojfRioBdfJOjYQVvbYTzH390F4w%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Pack of 3 Men Solid Round Neck Green, Black, Navy Blue T-Shirt"
https://www.flipkart.com/pytton-color-block-men-round-neck-black-t-shirt/p/itm13568aa0abe49?pid=TSHGM6Z6SHSPSSTZ&lid=LSTTSHGM6Z6SHSPSSTZGT4HDQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_12&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxiANXsoOitVuIapgp6b0VhjJ%2FxA7l1pmZpgC2AhvBGRog%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Color Block Round Neck Black T-Shirt
https://www.flipkart.com/smartees-typography-men-round-neck-black-t-shirt/p/itm40efb6c53e1e9?pid=TSHGDGCZXMRG9FWK&lid=LSTTSHGDGCZXMRG9FWKBIKXNP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_13&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGDGCZXMRG9FWK.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Typography Round Neck Black T-Shirt
https://www.flipkart.com/qugue-men-printed-casual-white-black-shirt/p/itme7f78f4245c21?pid=SHTGJHQYMQHEMDPS&lid=LSTSHTGJHQYMQHEMDPSSGXSB1&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=BestsellerId_clo%2Fash&srno=b_1_14&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.SHTGJHQYMQHEMDPS.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Regular Fit Printed Cut Away Collar Casual Shirt
https://www.flipkart.com/tripr-solid-men-round-neck-black-white-t-shirt/p/itm4ca94e9094703?pid=TSHGNTJXHXXDGYGK&lid=LSTTSHGNTJXHXXDGYGKD26A4K&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_15&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGNTJXHXXDGYGK.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Solid Round Neck Black, White T-Shirt"
https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm7bf6a3c83e4fb?pid=TSHGNAQNQ7WWMHJE&lid=LSTTSHGNAQNQ7WWMHJEN4LZBY&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_16&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGNAQNQ7WWMHJE.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Printed Round Neck Black T-Shirt
https://www.flipkart.com/ausk-striped-men-polo-neck-black-white-t-shirt/p/itm8c27a65682a13?pid=TSHGMZZ8EEZRE9HH&lid=LSTTSHGMZZ8EEZRE9HH8RPO77&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_17&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxjmRkPuAOixi8CNkn6RX5dZU0ry9IZ47QXRwY03HPiDiQ%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Striped Polo Neck Black, White T-Shirt"
https://www.flipkart.com/ausk-striped-men-polo-neck-black-dark-blue-t-shirt/p/itme521a4ce235be?pid=TSHGMZZHZZ9HG9CB&lid=LSTTSHGMZZHZZ9HG9CBARJ5PJ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_18&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxir4JDf3BwqOnK9iAd%2B7eHf6pe%2BSclHVlABFjTsxBnI1A%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Striped Polo Neck Black, Dark Blue T-Shirt"
https://www.flipkart.com/tripr-solid-men-round-neck-maroon-white-t-shirt/p/itm027b8fc761979?pid=TSHGNTJXTBTSBPNK&lid=LSTTSHGNTJXTBTSBPNKBADMO0&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_19&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGNTJXTBTSBPNK.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Solid Round Neck Maroon, White T-Shirt"
https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21?pid=TSHGC74BRSQZQQPP&lid=LSTTSHGC74BRSQZQQPPZQRTGJ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_20&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGC74BRSQZQQPP.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Nikky Men Printed Round Neck Black T-Shirt
https://www.flipkart.com/majestic-man-men-solid-casual-white-shirt/p/itm15001218b2c36?pid=SHTFVQX4QFFHTDBP&lid=LSTSHTFVQX4QFFHTDBPVAC8ZI&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_21&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxgKj91VSzcVtQW3oavFhhiImjNCfKE%2BiUUHulEFOGl%2BTg%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Slim Fit Solid Spread Collar Casual Shirt
https://www.flipkart.com/pytton-color-block-men-hooded-neck-white-t-shirt/p/itma5c5ffeacd1a5?pid=TSHGDURBBDJTGFHY&lid=LSTTSHGDURBBDJTGFHYFHPJTP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_22&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxiv79NaT5UrcNHO3LN47LsD4wj7He%2B4fADBGyF%2B5cDuIg%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Color Block Hooded Neck White T-Shirt
https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-grey-t-shirt/p/itm27d93351e935e?pid=TSHGMHZYCAVGZCXP&lid=LSTTSHGMHZYCAVGZCXPU2SGKN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_23&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGMHZYCAVGZCXP.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Printed Round Neck Grey T-Shirt
https://www.flipkart.com/blive-color-block-men-mandarin-collar-black-t-shirt/p/itmf2b3327b8000a?pid=TSHFVPFKFGCZZVEY&lid=LSTTSHFVPFKFGCZZVEYOTDMSN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_24&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHFVPFKFGCZZVEY.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Color Block Mandarin Collar Black T-Shirt
https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-red-t-shirt/p/itm8102556a29aba?pid=TSHGNHKRGSGKQ4VJ&lid=LSTTSHGNHKRGSGKQ4VJ9OIIQA&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_25&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGNHKRGSGKQ4VJ.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Printed Round Neck Red T-Shirt
https://www.flipkart.com/blive-striped-men-round-neck-multicolor-t-shirt/p/itm84eae45cb1774?pid=TSHGMGJNRBURKG38&lid=LSTTSHGMGJNRBURKG38KVB53S&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_26&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGMGJNRBURKG38.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Pack of 2 Men Striped Round Neck Multicolor T-Shirt
https://www.flipkart.com/sdk-self-design-men-high-neck-white-t-shirt/p/itm2020614a22bc4?pid=TSHGAJ6ZSYPVQPXD&lid=LSTTSHGAJ6ZSYPVQPXDSEVS2B&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_27&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxj%2BxIB4dspKP4RtxPY6YTU5jldVb0tK5vYhW%2FoicxgbKA%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Self Design High Neck White T-Shirt
https://www.flipkart.com/country-yard-color-block-men-round-neck-maroon-black-green-t-shirt/p/itm49a413acf4376?pid=TSHGMN93UJCS56RX&lid=LSTTSHGMN93UJCS56RXXLOJYG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_28&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxiG%2BIEA0nSkEVi7qJsHOsmwk9dLJxuzvM2PuUhAksVzPA%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Color Block Round Neck Maroon, Black, Green T-Shirt"
https://www.flipkart.com/blive-color-block-men-mandarin-collar-maroon-t-shirt/p/itma1de98578223d?pid=TSHFVPFKV2Q8SSMB&lid=LSTTSHFVPFKV2Q8SSMBGWAAS6&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_29&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHFVPFKV2Q8SSMB.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Color Block Mandarin Collar Maroon T-Shirt
https://www.flipkart.com/blive-printed-men-round-neck-maroon-t-shirt/p/itm69f9ded094f85?pid=TSHGBKQGSHHCND6Z&lid=LSTTSHGBKQGSHHCND6ZGUMV1O&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_30&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGBKQGSHHCND6Z.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Printed Round Neck Maroon T-Shirt
https://www.flipkart.com/regrowth-men-solid-casual-black-shirt/p/itm8600ba80f7cb3?pid=SHTGBPJFHCVTQH9G&lid=LSTSHTGBPJFHCVTQH9GNZJQEA&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_31&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxivA2VdJDLAcdDGH%2FqIaUfdDuhci5nuCL89fP0q8veRzA%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Regular Fit Solid Casual Shirt
https://www.flipkart.com/hanumntra-men-printed-casual-black-shirt/p/itm4da8ef61091b6?pid=SHTGHGWSUKYMMFHQ&lid=LSTSHTGHGWSUKYMMFHQDV9VEC&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_32&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxjK4cEy%2B2GjtKPUGARISO%2BZe7ASNg83O2%2BJo4iHrCkHfQ%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Regular Fit Printed Spread Collar Casual Shirt
https://www.flipkart.com/london-hills-solid-men-round-neck-black-t-shirt/p/itmf5hmhfzgbwxtg?pid=TSHF5HGFPVUGP8N7&lid=LSTTSHF5HGFPVUGP8N7TNMPFX&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_33&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHF5HGFPVUGP8N7.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Solid Round Neck Black T-Shirt
https://www.flipkart.com/ftx-solid-men-round-neck-silver-blue-black-grey-t-shirt/p/itm39275afebb5b2?pid=TSHGEMGVQZ2TS6MF&lid=LSTTSHGEMGVQZ2TS6MFIZ62F2&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_34&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGEMGVQZ2TS6MF.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Pack of 4 Men Solid Round Neck Silver, Blue, Black, Grey T-Shirt"
https://www.flipkart.com/jugular-striped-men-round-neck-light-green-t-shirt/p/itm14ef431002573?pid=TSHGG2FVBZZMGH5F&lid=LSTTSHGG2FVBZZMGH5FQV2HSY&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_35&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGG2FVBZZMGH5F.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Striped Round Neck Light Green T-Shirt
https://www.flipkart.com/moonvelly-solid-men-polo-neck-green-t-shirt/p/itm3f860aa725c5b?pid=TSHGGKPH6BPPEGUG&lid=LSTTSHGGKPH6BPPEGUGKOU2SU&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_36&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGGKPH6BPPEGUG.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Solid Polo Neck Green T-Shirt
https://www.flipkart.com/kajaru-striped-men-round-neck-light-blue-black-t-shirt/p/itmc2ee24b5e7b09?pid=TSHGHPXWSHFQUPYP&lid=LSTTSHGHPXWSHFQUPYPNVPMED&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_37&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxh%2FZywNb75JDv0HHIUn5QfZ1FYp8T7u8iDqx%2BFoejY7wQ%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Pack of 2 Men Striped Round Neck Light Blue, Black T-Shirt"
https://www.flipkart.com/blive-printed-men-round-neck-yellow-black-t-shirt/p/itmc96f0c4d4775a?pid=TSHGMHTUEAB7KS8G&lid=LSTTSHGMHTUEAB7KS8GNBXSXQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_38&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxgYgErH2ZmQwiqOxzQ5Ejy7xkur2RN3pf8r%2FJlTyd7LOg%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Pack of 2 Men Printed Round Neck Yellow, Black T-Shirt"
https://www.flipkart.com/ausk-color-block-men-round-neck-blue-black-t-shirt/p/itmc4b97a0badb26?pid=TSHGHU9FWVZFMTEH&lid=LSTTSHGHU9FWVZFMTEHL7DCSL&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_39&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGHU9FWVZFMTEH.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Color Block Round Neck Blue, Black T-Shirt"
https://www.flipkart.com/eyebogler-typography-men-round-neck-blue-t-shirt/p/itm4989940bf6328?pid=TSHGKG2H7MK2TMZR&lid=LSTTSHGKG2H7MK2TMZRZL7HBF&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_40&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGKG2H7MK2TMZR.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Typography Round Neck Blue T-Shirt
https://www.flipkart.com/fibermill-men-solid-formal-grey-shirt/p/itm5297ccc042b53?pid=SHTGBXYVPFPUCFG3&lid=LSTSHTGBXYVPFPUCFG3E0EVUQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_2_41&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_Y3I1MTQkSEYwoO4bKYRH57osJdKCqTzEn4RuC5LjpQVJQX4eYbcwxFU67IthDnBx0dF4S9DwVZKzLU0vpZkzmA%3D%3D&ppt=None&ppn=None&ssid=prx1tew0pc0000001684576985776,Men Regular Fit Solid Spread Collar Formal Shirt
