Link,Description
https://www.zalando.co.uk/pier-one-shirt-dark-green-pi922d09r-m11.html,Shirt - dark green
https://www.zalando.co.uk/hugo-elisha-formal-shirt-black-hu722d0og-q11.html,ELISHA - Formal shirt - black
https://www.zalando.co.uk/only-and-sons-onsalvaro-2-pack-shirt-black-os322d0nk-q11.html,ONSALVARO OXFORD 2 PACK - Shirt - black
https://www.zalando.co.uk/tommy-jeans-original-stretch-slim-fit-shirt-tob22d00r-k12.html,ORIGINAL STRETCH - Shirt - lavender lustre
https://www.zalando.co.uk/massimo-dutti-shirt-light-blue-m3i22d0ul-k11.html,REGULAR FIT STRIPED  - Shirt - light blue
https://www.zalando.co.uk/pier-one-2pack-formal-shirt-whitelight-blue-pi922d05k-a11.html,2 PACK - Formal shirt - white/light blue
https://www.zalando.co.uk/levis-classic-camper-shirt-bordeaux-le222d07q-g12.html,CLASSIC CAMPER - Shirt - bordeaux
https://www.zalando.co.uk/ck-calvin-klein-bari-slim-fit-shirt-ck122d00j-q11.html,BARI SLIM FIT - Formal shirt - black
https://www.zalando.co.uk/pier-one-shirt-beige-pi922d0ec-b11.html,Shirt - beige
https://www.zalando.co.uk/lindbergh-resort-shirt-off-white-lg522d08l-a11.html,RESORT - Shirt - off-white
https://www.zalando.co.uk/mango-avispa-shirt-himmelbla-m9122d2g0-k12.html,AVISPA - Shirt - himmelblå
https://www.zalando.co.uk/jack-and-jones-jjijeff-jjshirt-shirt-light-blue-denim-ja222d23g-k11.html,JJIJEFF JJSHIRT  - Shirt - light blue denim
https://www.zalando.co.uk/lindbergh-casual-blend-resort-shirt-white-lg522d06u-b12.html,RELAXED FIT CASUAL BLEND RESORT - Shirt - white
https://www.zalando.co.uk/polo-ralph-lauren-featherweight-shirt-lifeboat-green-po222p03w-m18.html,LONG SLEEVE - Shirt - optic green
https://www.zalando.co.uk/only-and-sons-onsneil-life-oxford-shirt-shirt-cashmere-blue-os322d0hk-k12.html,ONSNEIL LIFE OXFORD - Shirt - cashmere blue
https://www.zalando.co.uk/pier-one-shirt-white-pi922d0b0-a11.html,Shirt - white
https://www.zalando.co.uk/superdry-vintage-hawaiian-short-sleeve-shirt-dark-navy-hawaiian-su222d0mg-k13.html,VINTAGE HAWAIIAN SHORT SLEEVE  - Shirt - dark navy hawaiian
https://www.zalando.co.uk/redefined-rebel-remy-shirt-shirt-regal-orchid-r0622d03u-i11.html,REMY SHIRT - Shirt - regal orchid
https://www.zalando.co.uk/zign-unisex-shirt-black-zi1210025-q11.html,UNISEX - Shirt - black
https://www.zalando.co.uk/hugo-evito-shirt-dark-blue-hu722d0nh-k11.html,EVITO - Shirt - dark blue
https://www.zalando.co.uk/mango-oxford-shirt-navy-m9122d2ee-k11.html,OXFORD - Shirt - navy
https://www.zalando.co.uk/mango-parrot-shirt-donkermarine-m9122d2gq-k11.html,PARROT - Shirt - donkermarine
https://www.zalando.co.uk/massimo-dutti-shirt-dark-green-m3i22d0u4-m11.html,REGULAR FIT - Shirt - dark green
https://www.zalando.co.uk/mango-claude-shirt-czerwony-m9122d2et-g11.html,CLAUDE - Shirt - czerwony
https://www.zalando.co.uk/yourturn-unisex-shirt-black-yo12100xv-q11.html,UNISEX - Button-down blouse - black
https://www.zalando.co.uk/hugo-evito-shirt-open-white-hu722d0nh-a11.html,EVITO - Shirt - open white
https://www.zalando.co.uk/selected-homme-slhslimflex-park-shirt-bombay-brown-aopaop-se622d19d-k12.html,SLHSLIMFLEX PARK SHIRT - Shirt - bombay brown
https://www.zalando.co.uk/polo-ralph-lauren-long-sleeve-sport-shirt-golf-greenwhite-po222d0sv-m13.html,LONG SLEEVE SPORT SHIRT - Shirt - golf green/white
https://www.zalando.co.uk/arket-shirt-beige-aru22d00p-b11.html,Shirt - beige
https://www.zalando.co.uk/pier-one-shirt-khakidark-blue-pi922d0bw-n11.html,Shirt - khaki/dark blue
https://www.zalando.co.uk/selected-homme-slhslimnew-shirt-white-se622d14y-a11.html,SLHSLIMNEW - Shirt - white
https://www.zalando.co.uk/lindbergh-casual-blend-resort-shirt-stone-lg522d06u-b11.html,RELAXED FIT CASUAL BLEND RESORT - Shirt - stone
https://www.zalando.co.uk/yourturn-unisex-blouse-black-yo12100ls-q11.html,UNISEX - Shirt - black
https://www.zalando.co.uk/jack-and-jones-jcoben-classic-stretch-overshirt-shirt-four-leaf-clover-ja222d250-n11.html,JCOBEN CLASSIC OVERSHIRT  - Shirt - four leaf clover
https://www.zalando.co.uk/jack-and-jones-jjeclassic-corduroy-shirt-dark-brown-ja222d23h-o11.html,JJECLASSIC CORDUROY SHIRT  - Shirt - dark brown
https://www.zalando.co.uk/hugo-elisha-formal-shirt-light-pastel-pink-hu722d0og-j11.html,ELISHA - Formal shirt - light pastel pink
https://www.zalando.co.uk/pier-one-shirt-taupe-pi922da24-b11.html,Shirt - taupe
https://www.zalando.co.uk/tommy-hilfiger-mini-blackwatch-tartan-shirt-yale-navysapphire-blue-to122d0zo-k11.html,TARTAN RF  - Shirt - yale navy/sapphire blue
https://www.zalando.co.uk/only-and-sons-onsdan-life-shirt-shirt-white-os322d0jb-a11.html,ONSDAN LIFE SHIRT - Shirt - white
https://www.zalando.co.uk/jack-and-jones-jjslub-band-shirt-navy-blazer-ja222d28l-k11.html,JJSLUB BAND - Shirt - navy blazer
https://www.zalando.co.uk/boss-relegant-shirt-navy-bb122d19j-k11.html,RELEGANT - Shirt - navy
https://www.zalando.co.uk/jack-and-jones-premium-cardiff-formal-shirt-white-jam22d0ab-a11.html,JPRBLACARDIFF SLIM FIT - Shirt - beige
https://www.zalando.co.uk/boss-hank-party-formal-shirt-white-bb122d178-a11.html,HANK PARTY - Formal shirt - white
https://www.zalando.co.uk/superdry-shirt-mix-match-navy-paisley-su222d0mx-k11.html,Shirt - mix match navy paisley
https://www.zalando.co.uk/carhartt-wip-monterey-shirt-natural-stone-washed-c1422d08p-a11.html,MONTEREY - Shirt - natural stone washed
https://www.zalando.co.uk/only-and-sons-onscaiden-shirt-os322d06m-a11.html,ONSCAIDEN SS SOLID - Shirt - white
https://www.zalando.co.uk/superdry-merchant-shirt-eclipse-navy-su222d0mk-k11.html,HERRINGBONE  - Shirt - eclipse navy
https://www.zalando.co.uk/polo-ralph-lauren-shirt-black-po222d0t6-q11.html,SLIM FIT STRETCH POPLIN SHIRT - Shirt - black
https://www.zalando.co.uk/selected-homme-slhrelax-lee-resort-shirt-peacoat-se622d1d2-k11.html,SLHRELAX LEE RESORT - Shirt - peacoat
https://www.zalando.co.uk/jack-and-jones-jcoben-classic-stretch-overshirt-shirt-moonbeam-ja222d250-a11.html,JCOBEN CLASSIC OVERSHIRT  - Shirt - moonbeam
https://www.zalando.co.uk/abercrombie-and-fitch-getaway-shirt-green-a0f22p030-m11.html,GETAWAY - Shirt - green
https://www.zalando.co.uk/polo-ralph-lauren-short-sleeve-shirt-shirt-new-rose-po222d0qj-j11.html,SHORT SLEEVE SPORT SHIRT - Shirt - new rose
https://www.zalando.co.uk/jack-and-jones-premium-cardiff-formal-shirt-navy-blazer-jam22d0ab-k11.html,JPRBLACARDIFF SLIM FIT - Shirt - navy blazer
https://www.zalando.co.uk/massimo-dutti-shirt-brown-m3i22d0u4-o11.html,REGULAR FIT - Shirt - brown
https://www.zalando.co.uk/boss-hank-kent-shirt-open-green-bb122d19s-m11.html,HANK KENT - Shirt - open green
https://www.zalando.co.uk/polo-ralph-lauren-shirt-white-po222d0t6-a11.html,SLIM FIT STRETCH POPLIN SHIRT - Shirt - white
https://www.zalando.co.uk/levis-classic-western-standard-shirt-myrtle-wasabi-le222d08z-m11.html,CLASSIC WESTERN STANDARD - Shirt - myrtle wasabi
https://www.zalando.co.uk/zign-shirt-multi-coloured-zi121000u-t11.html,UNISEX - Button-down blouse - multi-coloured
https://www.zalando.co.uk/polo-ralph-lauren-shirt-blue-po222f02b-502.html,SLIM FIT OXFORD SHIRT - Shirt - blue
